evaluation_id,category,score,model_version,date
152,reasoning,42.71,gpt-4,2025-12-22
153,reasoning,45.81,gpt-3.5-turbo,2025-12-22
154,reasoning,6.06,gpt-4-turbo,2025-12-22
155,reasoning,19.97,gpt-4-turbo,2025-12-22
156,knowledge,39.97,gpt-4-turbo,2025-12-22
157,knowledge,59.43,gpt-4,2025-12-22
158,knowledge,69.18,gpt-4,2025-12-22
159,knowledge,55.23,gpt-4-turbo,2025-12-22
160,knowledge,50.39,gpt-4,2025-12-22
161,knowledge,60.25,claude-3-opus,2025-12-22
162,knowledge,100.0,gpt-3.5-turbo,2025-12-22
163,knowledge,99.88,gpt-3.5-turbo,2025-12-22
164,knowledge,95.57,gpt-4-turbo,2025-12-22
165,knowledge,69.87,claude-3-opus,2025-12-22
166,knowledge,36.75,gpt-4,2025-12-22
167,knowledge,37.99,gpt-4,2025-12-22
168,code,33.31,gpt-4-turbo,2025-12-22
169,code,27.46,claude-3-opus,2025-12-22
170,code,42.15,gpt-3.5-turbo,2025-12-22
171,code,40.4,gpt-4-turbo,2025-12-22
172,code,65.91,gpt-4,2025-12-22
173,code,78.81,gpt-4-turbo,2025-12-22
174,code,48.42,gpt-4,2025-12-22
175,code,40.98,gpt-3.5-turbo,2025-12-22
176,instruction_following,61.19,claude-3-opus,2025-12-22
177,instruction_following,85.58,gpt-4,2025-12-22
178,instruction_following,70.75,gpt-4,2025-12-22
179,instruction_following,81.35,gpt-4,2025-12-22
180,instruction_following,79.37,gpt-4-turbo,2025-12-22
181,instruction_following,48.42,gpt-4,2025-12-22
182,instruction_following,78.67,gpt-3.5-turbo,2025-12-22
183,instruction_following,87.62,gpt-3.5-turbo,2025-12-22
184,instruction_following,76.57,gpt-4,2025-12-22
185,tool_calling,22.37,gpt-4,2025-12-22
186,tool_calling,63.85,gpt-3.5-turbo,2025-12-22
187,tool_calling,70.96,gpt-4,2025-12-22
188,tool_calling,63.41,gpt-4,2025-12-22
189,tool_calling,52.73,gpt-4,2025-12-22
190,tool_calling,61.28,claude-3-opus,2025-12-22
191,tool_calling,51.55,gpt-4-turbo,2025-12-22
192,tool_calling,27.01,claude-3-opus,2025-12-22
193,reasoning,61.12,claude-3-opus,2025-12-23
194,reasoning,39.75,claude-3-opus,2025-12-23
195,reasoning,44.74,gpt-3.5-turbo,2025-12-23
196,reasoning,37.38,gpt-4-turbo,2025-12-23
197,reasoning,15.51,gpt-3.5-turbo,2025-12-23
198,reasoning,47.5,claude-3-opus,2025-12-23
199,reasoning,14.71,gpt-4-turbo,2025-12-23
200,reasoning,51.33,gpt-3.5-turbo,2025-12-23
201,reasoning,53.13,gpt-3.5-turbo,2025-12-23
202,reasoning,41.71,gpt-4-turbo,2025-12-23
203,knowledge,54.2,gpt-4-turbo,2025-12-23
204,knowledge,80.2,claude-3-opus,2025-12-23
205,knowledge,49.14,gpt-4-turbo,2025-12-23
206,knowledge,86.93,claude-3-opus,2025-12-23
207,knowledge,25.33,gpt-4-turbo,2025-12-23
208,knowledge,11.41,claude-3-opus,2025-12-23
209,knowledge,76.46,gpt-3.5-turbo,2025-12-23
210,knowledge,51.01,gpt-4,2025-12-23
211,knowledge,72.73,gpt-4-turbo,2025-12-23
212,knowledge,43.68,gpt-4-turbo,2025-12-23
213,code,37.11,gpt-4,2025-12-23
214,code,10.9,claude-3-opus,2025-12-23
215,code,47.52,claude-3-opus,2025-12-23
216,code,63.74,claude-3-opus,2025-12-23
217,code,13.07,gpt-3.5-turbo,2025-12-23
218,code,31.62,claude-3-opus,2025-12-23
219,code,47.81,gpt-4,2025-12-23
220,code,77.8,gpt-4-turbo,2025-12-23
221,code,72.72,gpt-3.5-turbo,2025-12-23
222,code,29.13,gpt-4,2025-12-23
223,code,31.84,gpt-3.5-turbo,2025-12-23
224,code,53.34,gpt-4-turbo,2025-12-23
225,code,66.03,gpt-4-turbo,2025-12-23
226,code,13.51,gpt-4-turbo,2025-12-23
227,code,61.7,gpt-3.5-turbo,2025-12-23
228,instruction_following,68.14,gpt-3.5-turbo,2025-12-23
229,instruction_following,50.91,gpt-4-turbo,2025-12-23
230,instruction_following,33.13,gpt-3.5-turbo,2025-12-23
231,instruction_following,54.8,gpt-4-turbo,2025-12-23
232,instruction_following,77.81,gpt-4,2025-12-23
233,instruction_following,92.96,gpt-4,2025-12-23
234,instruction_following,64.1,gpt-4-turbo,2025-12-23
235,instruction_following,83.59,gpt-4-turbo,2025-12-23
236,instruction_following,49.8,gpt-4,2025-12-23
237,instruction_following,91.95,claude-3-opus,2025-12-23
238,tool_calling,54.92,gpt-4,2025-12-23
239,tool_calling,69.93,gpt-4-turbo,2025-12-23
240,tool_calling,71.04,gpt-3.5-turbo,2025-12-23
241,tool_calling,49.79,gpt-4-turbo,2025-12-23
242,tool_calling,50.38,gpt-4-turbo,2025-12-23
243,tool_calling,45.04,gpt-3.5-turbo,2025-12-23
244,tool_calling,29.26,gpt-3.5-turbo,2025-12-23
245,tool_calling,44.33,gpt-4,2025-12-23
246,tool_calling,64.2,gpt-3.5-turbo,2025-12-23
247,tool_calling,73.31,claude-3-opus,2025-12-23
248,tool_calling,48.91,claude-3-opus,2025-12-23
249,reasoning,20.33,claude-3-opus,2025-12-24
250,reasoning,45.63,gpt-4-turbo,2025-12-24
251,reasoning,21.72,gpt-3.5-turbo,2025-12-24
252,reasoning,27.46,claude-3-opus,2025-12-24
253,reasoning,0.0,gpt-3.5-turbo,2025-12-24
254,knowledge,64.95,claude-3-opus,2025-12-24
255,knowledge,60.83,claude-3-opus,2025-12-24
256,knowledge,81.96,gpt-4-turbo,2025-12-24
257,knowledge,12.2,gpt-3.5-turbo,2025-12-24
258,knowledge,38.59,gpt-3.5-turbo,2025-12-24
259,knowledge,52.65,gpt-4-turbo,2025-12-24
260,knowledge,75.96,gpt-4-turbo,2025-12-24
261,knowledge,33.32,gpt-4-turbo,2025-12-24
262,knowledge,73.3,gpt-4,2025-12-24
263,knowledge,56.1,claude-3-opus,2025-12-24
264,knowledge,73.46,claude-3-opus,2025-12-24
265,code,70.53,gpt-3.5-turbo,2025-12-24
266,code,48.92,gpt-4-turbo,2025-12-24
267,code,65.2,claude-3-opus,2025-12-24
268,code,76.57,claude-3-opus,2025-12-24
269,code,68.59,gpt-3.5-turbo,2025-12-24
270,code,56.57,gpt-4,2025-12-24
271,code,69.58,gpt-4-turbo,2025-12-24
272,code,47.45,gpt-4,2025-12-24
273,code,31.17,gpt-3.5-turbo,2025-12-24
274,code,17.21,gpt-4,2025-12-24
275,code,57.27,gpt-4,2025-12-24
276,instruction_following,77.49,gpt-3.5-turbo,2025-12-24
277,instruction_following,84.14,gpt-4,2025-12-24
278,instruction_following,72.43,claude-3-opus,2025-12-24
279,instruction_following,83.52,gpt-3.5-turbo,2025-12-24
280,instruction_following,81.22,gpt-4,2025-12-24
281,instruction_following,87.58,gpt-4,2025-12-24
282,instruction_following,55.84,gpt-4-turbo,2025-12-24
283,instruction_following,57.81,claude-3-opus,2025-12-24
284,instruction_following,88.16,gpt-3.5-turbo,2025-12-24
285,instruction_following,93.49,gpt-4-turbo,2025-12-24
286,instruction_following,57.35,gpt-4-turbo,2025-12-24
287,instruction_following,93.55,gpt-3.5-turbo,2025-12-24
288,tool_calling,51.33,claude-3-opus,2025-12-24
289,tool_calling,34.69,gpt-3.5-turbo,2025-12-24
290,tool_calling,41.75,gpt-3.5-turbo,2025-12-24
291,tool_calling,36.66,gpt-3.5-turbo,2025-12-24
292,tool_calling,59.59,gpt-3.5-turbo,2025-12-24
293,tool_calling,71.66,gpt-3.5-turbo,2025-12-24
294,tool_calling,80.86,gpt-4,2025-12-24
295,tool_calling,40.29,gpt-3.5-turbo,2025-12-24
296,tool_calling,50.08,gpt-4-turbo,2025-12-24
297,tool_calling,52.23,gpt-4,2025-12-24
298,tool_calling,71.11,gpt-3.5-turbo,2025-12-24
299,tool_calling,79.03,gpt-4-turbo,2025-12-24
300,tool_calling,40.9,claude-3-opus,2025-12-24
301,tool_calling,50.83,gpt-3.5-turbo,2025-12-24
302,tool_calling,42.78,claude-3-opus,2025-12-24
303,reasoning,18.6,gpt-3.5-turbo,2025-12-25
304,reasoning,52.57,gpt-4,2025-12-25
305,reasoning,59.51,gpt-4-turbo,2025-12-25
306,reasoning,52.62,gpt-4-turbo,2025-12-25
307,reasoning,31.87,claude-3-opus,2025-12-25
308,reasoning,45.08,gpt-4,2025-12-25
309,reasoning,9.8,gpt-4-turbo,2025-12-25
310,reasoning,36.86,gpt-4,2025-12-25
311,reasoning,84.28,gpt-4,2025-12-25
312,reasoning,30.8,gpt-4-turbo,2025-12-25
313,knowledge,57.03,claude-3-opus,2025-12-25
314,knowledge,82.23,gpt-3.5-turbo,2025-12-25
315,knowledge,94.61,gpt-4,2025-12-25
316,knowledge,82.75,gpt-4-turbo,2025-12-25
317,knowledge,42.0,gpt-4,2025-12-25
318,knowledge,90.69,gpt-4,2025-12-25
319,knowledge,75.55,gpt-4-turbo,2025-12-25
320,knowledge,45.71,gpt-4,2025-12-25
321,knowledge,84.99,claude-3-opus,2025-12-25
322,knowledge,61.59,claude-3-opus,2025-12-25
323,knowledge,41.69,claude-3-opus,2025-12-25
324,knowledge,91.13,gpt-3.5-turbo,2025-12-25
325,code,52.31,gpt-4,2025-12-25
326,code,40.59,claude-3-opus,2025-12-25
327,code,46.36,gpt-3.5-turbo,2025-12-25
328,code,48.47,claude-3-opus,2025-12-25
329,code,48.69,gpt-4,2025-12-25
330,code,56.88,gpt-3.5-turbo,2025-12-25
331,code,54.52,gpt-3.5-turbo,2025-12-25
332,code,88.28,gpt-3.5-turbo,2025-12-25
333,instruction_following,59.81,gpt-3.5-turbo,2025-12-25
334,instruction_following,69.63,gpt-3.5-turbo,2025-12-25
335,instruction_following,94.53,gpt-4,2025-12-25
336,instruction_following,97.71,gpt-4,2025-12-25
337,instruction_following,59.37,claude-3-opus,2025-12-25
338,instruction_following,46.98,gpt-3.5-turbo,2025-12-25
339,instruction_following,90.47,claude-3-opus,2025-12-25
340,instruction_following,73.55,gpt-3.5-turbo,2025-12-25
341,instruction_following,67.07,claude-3-opus,2025-12-25
342,instruction_following,78.94,claude-3-opus,2025-12-25
343,tool_calling,52.68,gpt-4-turbo,2025-12-25
344,tool_calling,66.18,claude-3-opus,2025-12-25
345,tool_calling,56.05,claude-3-opus,2025-12-25
346,tool_calling,24.75,gpt-3.5-turbo,2025-12-25
347,tool_calling,47.35,claude-3-opus,2025-12-25
348,tool_calling,25.32,gpt-4-turbo,2025-12-25
349,tool_calling,36.48,gpt-4,2025-12-25
350,reasoning,94.3,claude-3-opus,2025-12-26
351,reasoning,26.53,claude-3-opus,2025-12-26
352,reasoning,49.41,gpt-3.5-turbo,2025-12-26
353,reasoning,71.14,gpt-4,2025-12-26
354,reasoning,43.8,gpt-4-turbo,2025-12-26
355,reasoning,0.0,claude-3-opus,2025-12-26
356,reasoning,14.85,claude-3-opus,2025-12-26
357,reasoning,32.41,gpt-4-turbo,2025-12-26
358,reasoning,38.19,gpt-4-turbo,2025-12-26
359,reasoning,24.84,gpt-4,2025-12-26
360,reasoning,41.32,gpt-3.5-turbo,2025-12-26
361,reasoning,15.0,claude-3-opus,2025-12-26
362,knowledge,67.81,gpt-4-turbo,2025-12-26
363,knowledge,76.27,gpt-4-turbo,2025-12-26
364,knowledge,84.19,gpt-4,2025-12-26
365,knowledge,57.23,gpt-3.5-turbo,2025-12-26
366,knowledge,65.67,gpt-4,2025-12-26
367,knowledge,80.23,gpt-4-turbo,2025-12-26
368,knowledge,89.6,gpt-3.5-turbo,2025-12-26
369,knowledge,94.77,gpt-4,2025-12-26
370,knowledge,75.46,claude-3-opus,2025-12-26
371,knowledge,83.27,claude-3-opus,2025-12-26
372,knowledge,42.6,gpt-3.5-turbo,2025-12-26
373,code,36.38,claude-3-opus,2025-12-26
374,code,93.37,claude-3-opus,2025-12-26
375,code,51.21,gpt-3.5-turbo,2025-12-26
376,code,79.8,claude-3-opus,2025-12-26
377,code,40.46,gpt-4-turbo,2025-12-26
378,instruction_following,84.59,gpt-3.5-turbo,2025-12-26
379,instruction_following,53.11,gpt-4,2025-12-26
380,instruction_following,85.28,gpt-4,2025-12-26
381,instruction_following,70.72,claude-3-opus,2025-12-26
382,instruction_following,78.29,gpt-3.5-turbo,2025-12-26
383,instruction_following,49.84,gpt-4-turbo,2025-12-26
384,instruction_following,75.97,gpt-4,2025-12-26
385,instruction_following,54.95,gpt-4,2025-12-26
386,instruction_following,26.39,claude-3-opus,2025-12-26
387,instruction_following,63.4,claude-3-opus,2025-12-26
388,tool_calling,54.13,claude-3-opus,2025-12-26
389,tool_calling,42.66,claude-3-opus,2025-12-26
390,tool_calling,44.91,gpt-3.5-turbo,2025-12-26
391,tool_calling,47.7,gpt-4,2025-12-26
392,tool_calling,78.91,claude-3-opus,2025-12-26
393,tool_calling,44.24,gpt-3.5-turbo,2025-12-26
394,tool_calling,24.04,gpt-3.5-turbo,2025-12-26
395,tool_calling,33.73,claude-3-opus,2025-12-26
396,tool_calling,57.5,gpt-3.5-turbo,2025-12-26
397,tool_calling,68.29,gpt-3.5-turbo,2025-12-26
398,tool_calling,32.96,gpt-4-turbo,2025-12-26
399,tool_calling,31.75,claude-3-opus,2025-12-26
400,reasoning,38.14,gpt-4,2025-12-27
401,reasoning,30.56,gpt-4-turbo,2025-12-27
402,reasoning,31.11,claude-3-opus,2025-12-27
403,reasoning,18.66,gpt-4,2025-12-27
404,reasoning,28.41,gpt-3.5-turbo,2025-12-27
405,reasoning,35.77,gpt-4-turbo,2025-12-27
406,reasoning,8.02,gpt-4-turbo,2025-12-27
407,reasoning,58.81,gpt-4-turbo,2025-12-27
408,reasoning,36.96,gpt-4,2025-12-27
409,reasoning,33.83,gpt-4-turbo,2025-12-27
410,reasoning,50.88,claude-3-opus,2025-12-27
411,reasoning,54.35,gpt-3.5-turbo,2025-12-27
412,knowledge,72.32,gpt-4,2025-12-27
413,knowledge,60.48,gpt-3.5-turbo,2025-12-27
414,knowledge,65.77,gpt-4,2025-12-27
415,knowledge,35.86,gpt-3.5-turbo,2025-12-27
416,knowledge,85.05,claude-3-opus,2025-12-27
417,knowledge,66.19,gpt-4,2025-12-27
418,knowledge,35.38,claude-3-opus,2025-12-27
419,code,61.14,gpt-4-turbo,2025-12-27
420,code,40.75,gpt-4,2025-12-27
421,code,12.55,gpt-3.5-turbo,2025-12-27
422,code,46.04,gpt-4,2025-12-27
423,code,62.24,claude-3-opus,2025-12-27
424,instruction_following,85.04,gpt-4-turbo,2025-12-27
425,instruction_following,77.56,gpt-4,2025-12-27
426,instruction_following,78.29,gpt-4,2025-12-27
427,instruction_following,77.45,claude-3-opus,2025-12-27
428,instruction_following,82.28,gpt-3.5-turbo,2025-12-27
429,instruction_following,76.55,claude-3-opus,2025-12-27
430,instruction_following,83.93,gpt-4-turbo,2025-12-27
431,instruction_following,72.14,gpt-3.5-turbo,2025-12-27
432,instruction_following,59.41,gpt-4,2025-12-27
433,instruction_following,35.83,gpt-4-turbo,2025-12-27
434,instruction_following,54.91,gpt-4-turbo,2025-12-27
435,instruction_following,78.37,gpt-4,2025-12-27
436,instruction_following,86.82,gpt-4-turbo,2025-12-27
437,tool_calling,70.5,gpt-4,2025-12-27
438,tool_calling,27.25,gpt-4-turbo,2025-12-27
439,tool_calling,28.68,gpt-4-turbo,2025-12-27
440,tool_calling,44.53,gpt-3.5-turbo,2025-12-27
441,tool_calling,17.06,gpt-3.5-turbo,2025-12-27
442,tool_calling,47.84,claude-3-opus,2025-12-27
443,tool_calling,10.85,gpt-3.5-turbo,2025-12-27
444,tool_calling,32.87,gpt-4,2025-12-27
445,tool_calling,23.54,gpt-4-turbo,2025-12-27
446,tool_calling,22.2,claude-3-opus,2025-12-27
447,tool_calling,27.35,claude-3-opus,2025-12-27
448,tool_calling,43.0,gpt-4-turbo,2025-12-27
449,tool_calling,52.46,gpt-4-turbo,2025-12-27
450,tool_calling,46.32,gpt-4,2025-12-27
451,tool_calling,71.37,gpt-4-turbo,2025-12-27
452,reasoning,49.4,claude-3-opus,2025-12-28
453,reasoning,87.07,gpt-4,2025-12-28
454,reasoning,33.9,gpt-4,2025-12-28
455,reasoning,49.71,gpt-3.5-turbo,2025-12-28
456,reasoning,13.01,gpt-4-turbo,2025-12-28
457,reasoning,48.32,gpt-4-turbo,2025-12-28
458,reasoning,33.75,gpt-4-turbo,2025-12-28
459,reasoning,11.07,gpt-4-turbo,2025-12-28
460,reasoning,42.82,gpt-3.5-turbo,2025-12-28
461,reasoning,17.23,gpt-4,2025-12-28
462,reasoning,52.55,gpt-4-turbo,2025-12-28
463,reasoning,39.92,gpt-4,2025-12-28
464,knowledge,80.38,claude-3-opus,2025-12-28
465,knowledge,58.9,claude-3-opus,2025-12-28
466,knowledge,70.62,gpt-4-turbo,2025-12-28
467,knowledge,71.91,gpt-4,2025-12-28
468,knowledge,42.98,gpt-4,2025-12-28
469,knowledge,61.23,claude-3-opus,2025-12-28
470,knowledge,39.0,claude-3-opus,2025-12-28
471,knowledge,80.41,gpt-4-turbo,2025-12-28
472,knowledge,70.98,gpt-4-turbo,2025-12-28
473,knowledge,77.0,gpt-3.5-turbo,2025-12-28
474,knowledge,38.41,gpt-4-turbo,2025-12-28
475,code,52.87,gpt-4,2025-12-28
476,code,63.67,claude-3-opus,2025-12-28
477,code,38.92,gpt-3.5-turbo,2025-12-28
478,code,37.68,gpt-4-turbo,2025-12-28
479,code,14.6,claude-3-opus,2025-12-28
480,code,61.31,gpt-4-turbo,2025-12-28
481,code,25.03,gpt-4,2025-12-28
482,code,30.22,gpt-4-turbo,2025-12-28
483,code,29.85,gpt-3.5-turbo,2025-12-28
484,code,31.58,gpt-4,2025-12-28
485,code,34.26,gpt-4-turbo,2025-12-28
486,code,46.02,gpt-4,2025-12-28
487,code,59.46,gpt-4-turbo,2025-12-28
488,instruction_following,93.98,claude-3-opus,2025-12-28
489,instruction_following,86.1,gpt-4,2025-12-28
490,instruction_following,81.57,claude-3-opus,2025-12-28
491,instruction_following,100.0,gpt-4,2025-12-28
492,instruction_following,71.37,gpt-3.5-turbo,2025-12-28
493,instruction_following,25.24,claude-3-opus,2025-12-28
494,instruction_following,89.35,gpt-3.5-turbo,2025-12-28
495,tool_calling,70.22,gpt-4,2025-12-28
496,tool_calling,60.36,gpt-4,2025-12-28
497,tool_calling,52.14,gpt-4,2025-12-28
498,tool_calling,77.04,claude-3-opus,2025-12-28
499,tool_calling,93.08,claude-3-opus,2025-12-28
500,tool_calling,86.82,gpt-4,2025-12-28
501,tool_calling,69.12,gpt-4,2025-12-28
502,tool_calling,49.48,gpt-4,2025-12-28
503,tool_calling,40.02,gpt-4-turbo,2025-12-28
504,reasoning,14.84,gpt-4-turbo,2025-12-29
505,reasoning,41.12,gpt-4-turbo,2025-12-29
506,reasoning,9.37,gpt-4-turbo,2025-12-29
507,reasoning,27.57,gpt-4,2025-12-29
508,reasoning,44.92,gpt-4,2025-12-29
509,reasoning,33.39,gpt-4-turbo,2025-12-29
510,reasoning,12.88,gpt-3.5-turbo,2025-12-29
511,reasoning,23.23,gpt-4-turbo,2025-12-29
512,reasoning,59.98,gpt-3.5-turbo,2025-12-29
513,reasoning,23.41,gpt-4,2025-12-29
514,reasoning,58.13,gpt-4,2025-12-29
515,reasoning,56.48,gpt-4-turbo,2025-12-29
516,reasoning,46.91,gpt-3.5-turbo,2025-12-29
517,reasoning,68.66,claude-3-opus,2025-12-29
518,reasoning,65.49,claude-3-opus,2025-12-29
519,knowledge,25.77,gpt-4,2025-12-29
520,knowledge,80.32,claude-3-opus,2025-12-29
521,knowledge,31.11,gpt-3.5-turbo,2025-12-29
